Time(sentisec);X_A(m);Y_A(m);X_F(m);Y_F(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_K(m);Y_K(m);X_L(m);Y_L(m)
5801360.0;2992.7639;1852.0546;3001.5323;1874.2705;2989.7675;1854.4;2987.8608;1849.5376;2998.7448;1851.8672;2985.8788;1852.7485;2974.9968;1844.6407;2986.4622;1856.6431
5801380.0;2992.7668;1852.1062;3001.4259;1874.0465;2989.7057;1854.4051;2987.9244;1849.5881;2998.6468;1851.7725;2985.8653;1852.5965;2974.8434;1844.694;2986.4677;1856.4723
5801400.0;2992.7817;1852.1721;3001.2822;1873.7352;2989.6344;1854.405;2987.9716;1849.6465;2998.5259;1851.6749;2985.8205;1852.433;2974.7135;1844.7395;2986.4872;1856.3126
5801420.0;2992.8072;1852.246;3001.1094;1873.3492;2989.5533;1854.3952;2987.9895;1849.7276;2998.3835;1851.5748;2985.7381;1852.2719;2974.5947;1844.7928;2986.5207;1856.1798
5801440.0;2992.8406;1852.3201;3000.9217;1872.9216;2989.4623;1854.3721;2987.9717;1849.8427;2998.2287;1851.4754;2985.6161;1852.1158;2974.4698;1844.8726;2986.5643;1856.0863
5801460.0;2992.879;1852.3912;3000.7359;1872.5012;2989.3636;1854.3353;2987.9256;1849.985;2998.0793;1851.3822;2985.4524;1851.9666;2974.3356;1844.9818;2986.6145;1856.0329
5801480.0;2992.9197;1852.461;3000.5662;1872.1327;2989.2632;1854.2879;2987.8717;1850.1306;2997.9581;1851.2988;2985.2485;1851.8328;2974.2054;1845.1021;2986.6696;1856.0059
5801500.0;2992.961;1852.5327;3000.4172;1871.8309;2989.166;1854.2365;2987.8327;1850.2546;2997.8817;1851.2264;2985.0217;1851.7235;2974.0983;1845.2078;2986.7269;1855.9862
5801520.0;2993.0017;1852.6073;3000.2859;1871.5803;2989.0738;1854.1888;2987.8198;1850.3483;2997.8529;1851.1634;2984.8083;1851.6377;2974.0261;1845.2823;2986.7815;1855.9611
5801540.0;2993.0401;1852.6844;3000.1682;1871.3601;2988.9868;1854.1528;2987.829;1850.4159;2997.8583;1851.1075;2984.6437;1851.5646;2973.9907;1845.3245;2986.8288;1855.9266
5801560.0;2993.0739;1852.765;3000.0639;1871.1628;2988.905;1854.1341;2987.8485;1850.4594;2997.8749;1851.0539;2984.538;1851.4915;2973.9822;1845.3428;2986.8691;1855.8809
5801580.0;2993.1005;1852.8507;2999.9768;1870.9962;2988.8258;1854.1313;2987.8698;1850.4708;2997.8793;1850.9955;2984.4722;1851.4126;2973.9832;1845.345;2986.9047;1855.8197
5801600.0;2993.1202;1852.9391;2999.9118;1870.8735;2988.7427;1854.1342;2987.8909;1850.4411;2997.86;1850.9282;2984.4203;1851.3299;2973.9762;1845.3351;2986.9358;1855.7376
5801620.0;2993.1367;1853.0224;2999.8704;1870.8013;2988.6496;1854.1328;2987.9114;1850.3759;2997.8189;1850.8507;2984.3675;1851.2505;2973.9529;1845.313;2986.959;1855.6326
5801640.0;2993.1553;1853.0938;2999.8494;1870.7739;2988.5487;1854.1249;2987.9276;1850.2973;2997.77;1850.7619;2984.3108;1851.1828;2973.9138;1845.2804;2986.9708;1855.51
5801660.0;2993.1785;1853.1534;2999.8393;1870.772;2988.4513;1854.1172;2987.9329;1850.2302;2997.7301;1850.6607;2984.2503;1851.1334;2973.8606;1845.2434;2986.9722;1855.3807
5801680.0;2993.2041;1853.207;2999.8298;1870.7726;2988.3699;1854.1168;2987.9232;1850.1869;2997.7055;1850.5485;2984.1854;1851.1038;2973.7949;1845.2107;2986.9696;1855.2581
5801700.0;2993.2276;1853.2585;2999.8165;1870.7612;2988.3111;1854.1276;2987.9;1850.1649;2997.6833;1850.432;2984.1134;1851.0908;2973.7232;1845.1883;2986.972;1855.1509
5801720.0;2993.2473;1853.3076;2999.8029;1870.7383;2988.275;1854.1534;2987.8689;1850.1549;2997.6379;1850.3191;2984.0317;1851.0904;2973.655;1845.1763;2986.9876;1855.0586
5801740.0;2993.2669;1853.3525;2999.7953;1870.7133;2988.2575;1854.1996;2987.8375;1850.1452;2997.5507;1850.2139;2983.9375;1851.1022;2973.5951;1845.1713;2987.0218;1854.9724
5801760.0;2993.2942;1853.3958;2999.8;1870.7017;2988.2516;1854.2674;2987.8118;1850.1246;2997.428;1850.1179;2983.8302;1851.1281;2973.5394;1845.1696;2987.0776;1854.8806
5801780.0;2993.3351;1853.4458;2999.8213;1870.7247;2988.2478;1854.3483;2987.7958;1850.0775;2997.2925;1850.0328;2983.7113;1851.1693;2973.4819;1845.1692;2987.1538;1854.7767
5801800.0;2993.3904;1853.5137;2999.8612;1870.8026;2988.2379;1854.4257;2987.79;1849.986;2997.162;1849.9555;2983.582;1851.2235;2973.4224;1845.1692;2987.2449;1854.6606
5801820.0;2993.4572;1853.608;2999.9176;1870.9414;2988.2204;1854.4829;2987.793;1849.8402;2997.0388;1849.8761;2983.4428;1851.2868;2973.3653;1845.1692;2987.3365;1854.5379
5801840.0;2993.533;1853.728;2999.9844;1871.1241;2988.2031;1854.5105;2987.8023;1849.6517;2996.9158;1849.7856;2983.2953;1851.3566;2973.3137;1845.1688;2987.4076;1854.4173
5801860.0;2993.616;1853.862;3000.0559;1871.321;2988.1948;1854.5118;2987.8119;1849.4563;2996.7866;1849.6839;2983.1441;1851.432;2973.2673;1845.167;2987.4388;1854.309
5801880.0;2993.7009;1853.9902;3000.1301;1871.5083;2988.1981;1854.5043;2987.814;1849.2963;2996.6514;1849.5835;2982.9955;1851.5116;2973.2241;1845.1615;2987.4267;1854.221
5801900.0;2993.778;1854.0943;3000.2092;1871.6772;2988.2083;1854.5147;2987.8036;1849.1958;2996.511;1849.4991;2982.8522;1851.5915;2973.1823;1845.1478;2987.3903;1854.1534
5801920.0;2993.8403;1854.1664;3000.2971;1871.8325;2988.2197;1854.5649;2987.783;1849.1543;2996.3656;1849.435;2982.7122;1851.6664;2973.1425;1845.1212;2987.3596;1854.0977
5801940.0;2993.8883;1854.2107;3000.397;1871.9844;2988.2257;1854.6591;2987.7587;1849.1585;2996.2158;1849.3843;2982.5701;1851.7303;2973.1056;1845.0788;2987.3554;1854.0411
5801960.0;2993.9287;1854.2412;3000.51;1872.1444;2988.217;1854.7796;2987.7351;1849.1965;2996.0645;1849.3354;2982.4214;1851.7804;2973.0737;1845.0216;2987.3816;1853.9728
5801980.0;2993.9675;1854.2718;3000.6337;1872.3204;2988.1832;1854.8998;2987.7112;1849.2626;2995.9166;1849.2815;2982.2658;1851.8197;2973.0503;1844.9528;2987.4312;1853.886
5802000.0;2994.0067;1854.3113;3000.7613;1872.5123;2988.1216;1855.0;2987.6854;1849.3571;2995.776;1849.2206;2982.1077;1851.8561;2973.0399;1844.8767;2987.4968;1853.7787
5802020.0;2994.0457;1854.3616;3000.8834;1872.7046;2988.0403;1855.076;2987.6591;1849.4796;2995.6432;1849.1535;2981.9554;1851.8959;2973.0446;1844.8016;2987.5725;1853.6546
5802040.0;2994.0834;1854.4201;3000.9917;1872.8729;2987.9522;1855.1347;2987.6367;1849.6246;2995.5163;1849.0805;2981.8168;1851.9405;2973.0593;1844.7409;2987.6544;1853.5207
5802060.0;2994.1204;1854.4857;3001.0791;1872.9902;2987.8684;1855.1883;2987.6218;1849.7805;2995.3941;1849.0048;2981.694;1851.9884;2973.0728;1844.7075;2987.7393;1853.3832
5802080.0;2994.16;1854.5599;3001.1407;1873.0382;2987.7986;1855.2478;2987.6151;1849.9341;2995.2756;1848.932;2981.5838;1852.0409;2973.0765;1844.7047;2987.8264;1853.2423
