Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m);X_M(m);Y_M(m)
3846360.0;3010.02;1836.2521;3013.8023;1835.5824;3012.9218;1837.2667;3011.7235;1833.2789;3012.2578;1837.0133;3010.7707;1837.7455;3008.2666;1839.4191;3011.9662;1882.4079;3005.0044;1840.9412
3846380.0;3007.805;1837.0066;3011.5079;1836.2759;3010.731;1838.0136;3009.5397;1833.9747;3009.9088;1837.7118;3008.3715;1838.5562;3005.969;1840.3864;3012.7376;1883.5844;3002.574;1841.6092
3846400.0;3005.6272;1837.9054;3009.2671;1837.126;3008.5586;1838.8863;3007.3464;1834.7415;3007.5862;1838.5512;3006.0391;1839.5127;3003.7534;1841.4717;3013.5107;1884.7094;3000.2527;1842.4608
3846420.0;3003.5038;1838.9469;3007.1059;1838.1436;3006.4294;1839.8777;3005.1635;1835.5925;3005.3175;1839.5322;3003.7998;1840.6196;3001.6416;1842.6856;3014.2764;1885.7859;2998.0682;1843.4557
3846440.0;3001.4394;1840.1294;3005.0364;1839.3251;3004.3621;1840.9834;3003.0119;1836.5437;3003.1247;1840.6503;3001.6783;1841.8822;2999.6631;1844.0448;3015.0186;1886.8258;2996.0141;1844.5578
3846460.0;2999.4298;1841.4549;3003.0611;1840.6588;3002.37;1842.2034;3000.9137;1837.6119;3001.0272;1841.9018;2999.7016;1843.3017;2997.8512;1845.5613;3015.715;1887.8513;2994.0584;1845.7444
3846480.0;2997.4743;1842.9261;3001.1813;1842.1331;3000.464;1843.5385;2998.8915;1838.8114;2999.0456;1843.2817;2997.8991;1844.8695;2996.2286;1847.2346;3016.336;1888.8861;2992.1681;1847.0053
3846500.0;2995.5852;1844.54;2999.4062;1843.7378;2998.6581;1844.9886;2996.9696;1840.152;2997.2033;1844.778;2996.2981;1846.5695;2994.7984;1849.0472;3016.8468;1889.9426;2990.3295;1848.3372
3846520.0;2993.79;1846.2855;2997.7577;1845.457;2996.9712;1846.5521;2995.1758;1841.638;2995.5247;1846.3704;2994.9155;1848.3802;2993.55;1850.9673;3017.2113;1891.0122;2988.5497;1849.7378
3846540.0;2992.1263;1848.1435;2996.2697;1847.2617;2995.4247;1848.2235;2993.5454;1843.2656;2994.0342;1848.0373;2993.7538;1850.2755;2992.4697;1852.9558;3017.3976;1892.0675;2986.8481;1851.2056
3846560.0;2990.6339;1850.0904;2994.9812;1849.1091;2994.038;1849.9904;2992.1189;1845.0225;2992.753;1849.7612;2992.8018;1852.2228;2991.546;1854.9765;3017.3778;1893.0728;2985.2461;1852.7392
3846580.0;2989.3441;1852.1004;2993.9251;1850.9549;2992.8232;1851.8318;2990.9318;1846.8878;2991.6955;1851.5267;2992.0393;1854.1874;2990.765;1857.0043;3017.1287;1894.0001;2983.7651;1854.3375
3846600.0;2988.2703;1854.1459;2993.1122;1852.7677;2991.7811;1853.7185;2990.0005;1848.8334;2990.8641;1853.3147;2991.4388;1856.1398;2990.1016;1859.0273;3016.6302;1894.8333;2982.4256;1856.0012
3846620.0;2987.4012;1856.1992;2992.5195;1854.5381;2990.8987;1855.6196;2989.314;1850.8267;2990.2455;1855.1021;2990.9666;1858.0643;2989.52;1861.0439;3015.8659;1895.5647;2981.2439;1857.7338
3846640.0;2986.7022;1858.2366;2992.0947;1856.2771;2990.1496;1857.5085;2988.8349;1852.8367;2989.8088;1856.8657;2990.5832;1859.9592;2988.9844;1863.0567;3014.8207;1896.1844;2980.2196;1859.5347
3846660.0;2986.1225;1860.24;2991.7748;1858.004;2989.4994;1859.3669;2988.5094;1854.8446;2989.5064;1858.5902;2990.2465;1861.8316;2988.4724;1865.0643;3013.4822;1896.6755;2979.3248;1861.3851
3846680.0;2985.6026;1862.1993;2991.4998;1859.7298;2988.9118;1861.1818;2988.2779;1856.8503;2989.2786;1860.2702;2989.9144;1863.6901;2987.973;1867.0562;3011.844;1897.0171;2978.5099;1863.2423
3846700.0;2985.08;1864.1135;2991.2147;1861.4486;2988.3524;1862.9423;2988.0838;1858.8675;2989.0613;1861.9074;2989.547;1865.5402;2987.4711;1869.0125;3009.9131;1897.1917;2977.7316;1865.0523
3846720.0;2984.4973;1865.9903;2990.8691;1863.1398;2987.7887;1864.6397;2987.8758;1860.9069;2988.7947;1863.507;2989.1076;1867.3816;2986.9364;1870.9105;3007.7118;1897.1868;2976.9719;1866.7715
3846740.0;2983.813;1867.8395;2990.4218;1864.7811;2987.1901;1866.2709;2987.6051;1862.959;2988.4318;1865.0756;2988.564;1869.2067;2986.3274;1872.7304;3005.2741;1896.9945;2976.2327;1868.3815
3846760.0;2983.0098;1869.6625;2989.8473;1866.3614;2986.527;1867.8385;2987.2238;1864.9879;2987.9401;1866.6205;2987.8903;1871.0015;2985.6052;1874.4598;3002.6364;1896.6094;2975.5114;1869.8894
3846780.0;2982.0915;1871.4478;2989.134;1867.8832;2985.7706;1869.347;2986.6875;1866.9416;2987.3009;1868.1482;2987.0671;1872.7465;2984.7394;1876.0945;2999.8323;1896.0314;2974.7878;1871.3218
3846800.0;2981.0668;1873.177;2988.2752;1869.3568;2984.8945;1870.7978;2985.9615;1868.7735;2986.5056;1869.6584;2986.0817;1874.4205;2983.7065;1877.6327;2996.8901;1895.2717;2974.0308;1872.7123
3846820.0;2979.9333;1874.8336;2987.261;1870.7902;2983.8761;1872.1869;2985.0258;1870.4583;2985.5524;1871.1401;2984.9264;1876.0032;2982.4872;1879.0671;2993.8362;1894.3561;2973.2175;1874.0892
3846840.0;2978.6741;1876.4047;2986.0763;1872.1839;2982.7009;1873.506;2983.8768;1871.9934;2984.4435;1872.5751;2983.5972;1877.477;2981.0692;1880.3821;2990.6947;1893.3256;2972.3438;1875.4693
3846860.0;2977.2675;1877.8797;2984.7015;1873.5314;2981.3643;1874.7463;2982.5245;1873.3872;2983.1827;1873.9475;2982.092;1878.8274;2979.4522;1881.5586;2987.4912;1892.2305;2971.4211;1876.8588
3846880.0;2975.6997;1879.2488;2983.1189;1874.8224;2979.8712;1875.9;2980.9892;1874.6469;2981.7735;1875.2474;2980.4124;1880.0429;2977.649;1882.5851;2984.2584;1891.1183;2970.4641;1878.2594
3846900.0;2973.9721;1880.5055;2981.3221;1876.0455;2978.2355;1876.9613;2979.2954;1875.7756;2980.2205;1876.4678;2978.5672;1881.1137;2975.6821;1883.4621;2981.0417;1890.0228;2969.48;1879.6676
3846920.0;2972.0977;1881.6444;2979.3264;1877.187;2976.4752;1877.9232;2977.4674;1876.7761;2978.5308;1877.599;2976.5738;1882.034;2973.5758;1884.1988;2977.8933;1888.9615;2968.4631;1881.07
