Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_L(m);Y_L(m)
1679520.0;3001.0352;1850.0057;3000.5601;1853.2114;3002.0297;1853.6826;3001.068;1855.2599;3002.0347;1852.5192;3001.9144;1853.4864;2997.0206;1850.6216
1679540.0;3001.0713;1849.8527;3000.5867;1853.2257;3001.9931;1853.6782;3000.9906;1855.1756;3002.1562;1852.4637;3001.8412;1853.3133;2997.0088;1850.6667
1679560.0;3001.1123;1849.704;3000.5924;1853.2196;3001.955;1853.6798;3000.897;1855.1015;3002.273;1852.4282;3001.7761;1853.1401;2996.9911;1850.6976
1679580.0;3001.1567;1849.5542;3000.587;1853.1971;3001.9197;1853.6876;3000.7954;1855.0434;3002.384;1852.409;3001.7254;1852.9756;2996.96;1850.7163
1679600.0;3001.1995;1849.3992;3000.5835;1853.1665;3001.891;1853.7034;3000.6933;1855.0007;3002.4901;1852.4003;3001.6961;1852.8273;2996.9108;1850.728
1679620.0;3001.2342;1849.2412;3000.5886;1853.1411;3001.8718;1853.7261;3000.5929;1854.9636;3002.5907;1852.3971;3001.6872;1852.7008;2996.8442;1850.74
1679640.0;3001.2558;1849.0897;3000.5988;1853.1352;3001.8624;1853.751;3000.492;1854.9204;3002.6799;1852.3962;3001.6882;1852.5983;2996.7666;1850.7599
1679660.0;3001.2612;1848.9572;3000.6063;1853.1582;3001.8612;1853.7722;3000.3874;1854.8647;3002.7468;1852.396;3001.6862;1852.5198;2996.6884;1850.7934
1679680.0;3001.247;1848.8542;3000.608;1853.2098;3001.8667;1853.7889;3000.2794;1854.7992;3002.7836;1852.396;3001.6745;1852.4648;2996.6195;1850.8422
1679700.0;3001.2077;1848.787;3000.6106;1853.2812;3001.8772;1853.8058;3000.1717;1854.7333;3002.7915;1852.396;3001.6522;1852.4325;2996.5646;1850.9022
1679720.0;3001.138;1848.755;3000.6238;1853.3623;3001.887;1853.8268;3000.0685;1854.6778;3002.7791;1852.396;3001.62;1852.422;2996.5217;1850.9659
1679740.0;3001.0393;1848.7501;3000.6497;1853.446;3001.8872;1853.8508;2999.9719;1854.639;3002.7557;1852.396;3001.5769;1852.4323;2996.4847;1851.0275
1679760.0;3000.924;1848.757;3000.6798;1853.5288;3001.872;1853.8743;2999.8824;1854.6167;3002.7285;1852.3962;3001.521;1852.4636;2996.4472;1851.0878
1679780.0;3000.8115;1848.7595;3000.7008;1853.6115;3001.8452;1853.8945;2999.8014;1854.6065;3002.7038;1852.3971;3001.4519;1852.5151;2996.4038;1851.1535
1679800.0;3000.717;1848.7478;3000.704;1853.6998;3001.8164;1853.9086;2999.7321;1854.6038;3002.6869;1852.3999;3001.3715;1852.5842;2996.3496;1851.2308
1679820.0;3000.6423;1848.7217;3000.6862;1853.8035;3001.7927;1853.9127;2999.6764;1854.6072;3002.6815;1852.4067;3001.2845;1852.6662;2996.2826;1851.3163
1679840.0;3000.5787;1848.6874;3000.6443;1853.9301;3001.7755;1853.9029;2999.634;1854.6204;3002.6892;1852.4194;3001.1967;1852.7564;2996.2085;1851.3947
