Time(sentisec);X_A(m);Y_A(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m);X_L(m);Y_L(m)
2026320.0;6506.2726;15790.4077;6504.5027;15793.9448;6508.6788;15791.4389;6502.991;15790.0148;6507.4442;15799.0037;6504.6902;15794.0486;6505.7801;15792.1763;6513.0445;15792.1939;6510.1389;15794.6729
2026340.0;6505.1716;15788.0648;6503.4723;15791.4882;6507.8853;15789.05;6501.9033;15787.6351;6506.9038;15796.5195;6503.6475;15791.5856;6504.7652;15789.8021;6512.221;15789.7697;6509.1733;15792.2037
2026360.0;6504.0015;15785.7288;6502.4145;15789.0324;6507.0616;15786.6763;6500.7909;15785.2552;6506.3413;15794.0569;6502.5479;15789.1294;6503.6832;15787.4513;6511.3917;15787.3618;6508.2218;15789.73
2026380.0;6502.7623;15783.3962;6501.3272;15786.5777;6506.1957;15784.3117;6499.6611;15782.8726;6505.7446;15791.6133;6501.3894;15786.6796;6502.5285;15785.1236;6510.5348;15784.9721;6507.2787;15787.2612
2026400.0;6501.4565;15781.0699;6500.2065;15784.1239;6505.2782;15781.9544;6498.5156;15780.4929;6505.1063;15789.1852;6500.1739;15784.2418;6501.2997;15782.8183;6509.6216;15782.5947;6506.3333;15784.8096
2026420.0;6500.0879;15778.7575;6499.0515;15781.6727;6504.3026;15779.6093;6497.3503;15778.1244;6504.4227;15786.7673;6498.9074;15781.8251;6499.9988;15780.5346;6508.6216;15780.22;6505.3679;15782.3857
2026440.0;6498.6595;15776.465;6497.8674;15779.2289;6503.2649;15777.285;6496.1603;15775.7723;6503.6912;15784.3553;6497.5995;15779.4358;6498.6329;15778.2691;6507.5121;15777.8402;6504.3602;15779.9954
2026460.0;6497.1765;15774.1908;6496.6648;15776.7997;6502.1627;15774.9873;6494.9452;15773.4365;6502.9103;15781.9463;6496.2644;15777.0737;6497.2152;15776.014;6506.291;15775.4545;6503.2901;15777.6391
2026480.0;6495.6534;15771.9228;6495.4556;15774.3896;6500.996;15772.7148;6493.7128;15771.114;6502.0808;15779.5405;6494.9199;15774.7324;6495.7659;15773.7565;6504.9833;15773.069;6502.1467;15775.3156
2026500.0;6494.1212;15769.6403;6494.2533;15771.9962;6499.7706;15770.4584;6492.4769;15768.8027;6501.2082;15777.1399;6493.5887;15772.402;6494.3119;15771.4828;6503.6345;15770.6929;6500.9305;15773.0234
