Time(sentisec);X_A(m);Y_A(m);X_L(m);Y_L(m);X_B(m);Y_B(m);X_C(m);Y_C(m);X_D(m);Y_D(m);X_E(m);Y_E(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_J(m);Y_J(m)
2229540.0;3003.1597;1847.9348;2996.5783;1854.8801;2996.2927;1848.0107;2986.7661;1858.212;3003.99;1851.8481;2994.5532;1847.9678;2996.7585;1843.2731;3004.0653;1841.4271;2993.6974;1843.5993;3011.028;1876.1555
2229560.0;3003.3193;1847.8998;2996.8539;1854.6309;2996.2764;1848.0713;2986.6408;1858.4709;3004.4055;1851.5379;2994.5672;1847.9558;2997.2247;1843.1755;3004.0704;1841.4052;2993.8813;1842.8988;3011.1036;1876.2641
2229560.0;3003.3193;1847.8998;2996.8539;1854.6309;2996.2764;1848.0713;2986.6408;1858.4709;3004.4055;1851.5379;2994.5672;1847.9558;2997.2247;1843.1755;3004.0704;1841.4052;2993.8813;1842.8988;3011.1036;1876.2641
2229580.0;3003.4796;1847.8521;2997.1288;1854.3478;2996.2646;1848.1071;2986.5116;1858.7327;3004.823;1851.2236;2994.5872;1847.9508;2997.6967;1843.0899;3004.0758;1841.3704;2994.1359;1842.0781;3011.1793;1876.3726
2229580.0;3003.4796;1847.8521;2997.1288;1854.3478;2996.2646;1848.1071;2986.5116;1858.7327;3004.823;1851.2236;2994.5872;1847.9508;2997.6967;1843.0899;3004.0758;1841.3704;2994.1359;1842.0781;3011.1793;1876.3726
2229600.0;3003.6298;1847.8107;2997.3872;1854.0466;2996.252;1848.1229;2986.3706;1859.0139;3005.1546;1850.9662;2994.607;1847.9492;2998.1745;1843.015;3004.08;1841.3235;2994.4392;1841.2461;3011.255;1876.4812
2229600.0;3003.6298;1847.8107;2997.3872;1854.0466;2996.252;1848.1229;2986.3706;1859.0139;3005.1546;1850.9662;2994.607;1847.9492;2998.1745;1843.015;3004.08;1841.3235;2994.4392;1841.2461;3011.255;1876.4812
2229620.0;3003.757;1847.7828;2997.6261;1853.7354;2996.232;1848.1242;2986.2075;1859.331;3005.3377;1850.7896;2994.6214;1847.9488;2998.6581;1842.9489;3004.0857;1841.2662;2994.7511;1840.5097;3011.3307;1876.5898
2229620.0;3003.757;1847.7828;2997.6261;1853.7354;2996.232;1848.1242;2986.2075;1859.331;3005.3377;1850.7896;2994.6214;1847.9488;2998.6581;1842.9489;3004.0857;1841.2662;2994.7511;1840.5097;3011.3307;1876.5898
2229640.0;3003.8425;1847.7662;2997.8518;1853.415;2996.2004;1848.1126;2986.0184;1859.6914;3005.3624;1850.6606;2994.6295;1847.9492;2999.1425;1842.8906;3004.0945;1841.1996;2995.0289;1839.9256;3011.4064;1876.6984
2229640.0;3003.8425;1847.7662;2997.8518;1853.415;2996.2004;1848.1126;2986.0184;1859.6914;3005.3624;1850.6606;2994.6295;1847.9492;2999.1425;1842.8906;3004.0945;1841.1996;2995.0289;1839.9256;3011.4064;1876.6984
2229660.0;3003.865;1847.7563;2998.0732;1853.0825;2996.1565;1848.0855;2985.8074;1860.0931;3005.2674;1850.5019;2994.634;1847.9504;2999.6166;1842.8412;3004.1039;1841.1234;2995.2428;1839.5;3011.4821;1876.807
2229660.0;3003.865;1847.7563;2998.0732;1853.0825;2996.1565;1848.0855;2985.8074;1860.0931;3005.2674;1850.5019;2994.634;1847.9504;2999.6166;1842.8412;3004.1039;1841.1234;2995.2428;1839.5;3011.4821;1876.807
2229680.0;3003.8048;1847.754;2998.2966;1852.7362;2996.1031;1848.0409;2985.5831;1860.5276;3005.1148;1850.2368;2994.6385;1847.9538;3000.0656;1842.8036;3004.1103;1841.0384;2995.3825;1839.2161;3011.5578;1876.9155
2229680.0;3003.8048;1847.754;2998.2966;1852.7362;2996.1031;1848.0409;2985.5831;1860.5276;3005.1148;1850.2368;2994.6385;1847.9538;3000.0656;1842.8036;3004.1103;1841.0384;2995.3825;1839.2161;3011.5578;1876.9155
2229700.0;3003.643;1847.77;2998.5233;1852.3784;2996.0442;1847.9814;2985.3533;1860.983;3004.9656;1849.8273;2994.6469;1847.9604;3000.4776;1842.7797;3004.1152;1840.9463;2995.4564;1839.0592;3011.6334;1877.0241
2229700.0;3003.643;1847.77;2998.5233;1852.3784;2996.0442;1847.9814;2985.3533;1860.983;3004.9656;1849.8273;2994.6469;1847.9604;3000.4776;1842.7797;3004.1152;1840.9463;2995.4564;1839.0592;3011.6334;1877.0241
2229720.0;3003.368;1847.8214;2998.7506;1852.0143;2995.9838;1847.9161;2985.1243;1861.4447;3004.8611;1849.2871;2994.6621;1847.9692;3000.8493;1842.7681;3004.1239;1840.8488;2995.4881;1839.0193;3011.7091;1877.1327
2229720.0;3003.368;1847.8214;2998.7506;1852.0143;2995.9838;1847.9161;2985.1243;1861.4447;3004.8611;1849.2871;2994.6621;1847.9692;3000.8493;1842.7681;3004.1239;1840.8488;2995.4881;1839.0193;3011.7091;1877.1327
2229740.0;3002.9875;1847.9198;2998.976;1851.6511;2995.9249;1847.8571;2984.8994;1861.8977;3004.8126;1848.6653;2994.6842;1847.9744;3001.185;1842.7666;3004.1385;1840.747;2995.5108;1839.0776;3011.7848;1877.2413
2229740.0;3002.9875;1847.9198;2998.976;1851.6511;2995.9249;1847.8571;2984.8994;1861.8977;3004.8126;1848.6653;2994.6842;1847.9744;3001.185;1842.7666;3004.1385;1840.747;2995.5108;1839.0776;3011.7848;1877.2413
2229760.0;3002.5374;1848.0617;2999.2005;1851.2963;2995.8712;1847.8144;2984.6791;1862.3319;3004.8041;1848.0219;2994.709;1847.9667;3001.4886;1842.7761;3004.155;1840.643;2995.5518;1839.1991;3011.8605;1877.3498
2229760.0;3002.5374;1848.0617;2999.2005;1851.2963;2995.8712;1847.8144;2984.6791;1862.3319;3004.8041;1848.0219;2994.709;1847.9667;3001.4886;1842.7761;3004.155;1840.643;2995.5518;1839.1991;3011.8605;1877.3498
2229780.0;3002.0674;1848.2287;2999.4277;1850.9585;2995.8262;1847.794;2984.4632;1862.7446;3004.802;1847.4145;2994.7303;1847.939;3001.7586;1842.8035;3004.1683;1840.5411;2995.6177;1839.3431;3011.9362;1877.4584
2229780.0;3002.0674;1848.2287;2999.4277;1850.9585;2995.8262;1847.794;2984.4632;1862.7446;3004.802;1847.4145;2994.7303;1847.939;3001.7586;1842.8035;3004.1683;1840.5411;2995.6177;1839.3431;3011.9362;1877.4584
2229800.0;3001.6164;1848.399;2999.6586;1850.6479;2995.7915;1847.7993;2984.2542;1863.1377;3004.7749;1846.8856;2994.7434;1847.8924;3001.9885;1842.8578;3004.1761;1840.4466;2995.6907;1839.4852;3012.0119;1877.567
2229800.0;3001.6164;1848.399;2999.6586;1850.6479;2995.7915;1847.7993;2984.2542;1863.1377;3004.7749;1846.8856;2994.7434;1847.8924;3001.9885;1842.8578;3004.1761;1840.4466;2995.6907;1839.4852;3012.0119;1877.567
