Time(sentisec);X_B(m);Y_B(m);X_C(m);Y_C(m);X_G(m);Y_G(m);X_H(m);Y_H(m);X_I(m);Y_I(m);X_L(m);Y_L(m);X_M(m);Y_M(m)
1470480.0;2990.1066;1862.6695;2990.1661;1866.5401;3010.6993;1838.6151;2986.1715;1846.7324;2990.1771;1838.0894;2987.4746;1869.2794;2995.2756;1846.8158
1470500.0;2990.1939;1862.6139;2989.9907;1869.7625;3010.5947;1839.0085;2985.999;1846.8173;2990.1494;1838.026;2987.2964;1869.6473;2995.2652;1846.746
1470520.0;2990.2952;1862.5128;2989.8126;1873.107;3010.4975;1839.3935;2985.7957;1846.8504;2990.1317;1837.9856;2987.1091;1870.0344;2995.2593;1846.6702
1470540.0;2990.4028;1862.3477;2989.6264;1876.6381;3010.4105;1839.7603;2985.5734;1846.8362;2990.1225;1837.9676;2986.9197;1870.4349;2995.2531;1846.5894
1470560.0;2990.5157;1862.1414;2989.4426;1880.2863;3010.3361;1840.0952;2985.3452;1846.8043;2990.1177;1837.964;2986.7469;1870.8412;2995.2447;1846.5061
1470580.0;2990.6191;1861.974;2989.285;1883.7762;3010.2794;1840.3744;2985.1181;1846.7922;2990.1132;1837.9626;2986.6184;1871.2415;2995.2344;1846.4242
1470600.0;2990.6796;1861.9454;2989.1721;1886.7669;3010.2471;1840.5674;2984.8953;1846.821;2990.1048;1837.9551;2986.5567;1871.63;2995.2233;1846.3499
1470620.0;2990.6679;1862.1037;2989.1007;1889.1033;3010.246;1840.6438;2984.6825;1846.8868;2990.0896;1837.94;2986.5604;1872.0073;2995.2111;1846.2891
1470640.0;2990.5944;1862.387;2989.0518;1890.8788;3010.2843;1840.5811;2984.4906;1846.9725;2990.0672;1837.9187;2986.5952;1872.3735;2995.1959;1846.2441
1470660.0;2990.5128;1862.6506;2989.0076;1892.3131;3010.3722;1840.3633;2984.3311;1847.0591;2990.0411;1837.8919;2986.612;1872.7163;2995.1776;1846.2088
1470680.0;2990.4802;1862.76;2988.9621;1893.5759;3010.5181;1839.9871;2984.2092;1847.1317;2990.0156;1837.8606;2986.5764;1873.0141;2995.1594;1846.1728
1470700.0;2990.5213;1862.6621;2988.9187;1894.744;3010.7183;1839.4767;2984.115;1847.1848;2989.992;1837.8306;2986.4842;1873.2586;2995.1445;1846.1309
1470720.0;2990.6294;1862.38;2988.884;1895.8293;3010.9504;1838.8928;2984.0228;1847.2286;2989.9672;1837.812;2986.3518;1873.473;2995.1333;1846.0869
1470740.0;2990.7963;1861.9399;2988.8637;1896.8362;3011.1809;1838.3155;2983.9013;1847.2876;2989.9373;1837.8136;2986.2021;1873.6985;2995.1259;1846.0461
1470760.0;2991.027;1861.306;2988.8636;1897.757;3011.3827;1837.81;2983.7335;1847.38;2989.8993;1837.8377;2986.0582;1873.9606;2995.1243;1846.0072
1470780.0;2991.3254;1860.3759;2988.887;1898.5907;3011.5494;1837.4004;2983.5318;1847.4962;2989.8525;1837.8803;2985.941;1874.258;2995.1333;1845.9637
1470800.0;2991.6688;1859.0664;2988.9323;1899.3418;3011.6963;1837.0733;2983.3382;1847.6018;2989.7966;1837.9366;2985.8656;1874.5751;2995.1551;1845.9136
1470820.0;2991.9999;1857.4372;2988.9917;1900.0192;3011.8489;1836.798;2983.2088;1847.6586;2989.7329;1838.0043;2985.8278;1874.903;2995.187;1845.8641
1470840.0;2992.2516;1855.7224;2989.0529;1900.6291;3012.0263;1836.5526;2983.1906;1847.6477;2989.6661;1838.0838;2985.7969;1875.2539;2995.2243;1845.8222
1470860.0;2992.3896;1854.2088;2989.1026;1901.1764;3012.2353;1836.3318;2983.3017;1847.5714;2989.6022;1838.1754;2985.7232;1875.6557;2995.2654;1845.7874
1470880.0;2992.4427;1853.0631;2989.1331;1901.6665;3012.4714;1836.1404;2983.5274;1847.4373;2989.5454;1838.2793;2985.5681;1876.1303;2995.3108;1845.7551
1470900.0;2992.4844;1852.285;2989.1472;1902.1115;3012.7254;1835.978;2983.831;1847.2462;2989.4966;1838.3952;2985.3302;1876.671;2995.3573;1845.7242
1470920.0;2992.5839;1851.7967;2989.1575;1902.5237;3012.9858;1835.8339;2984.1732;1846.9949;2989.4548;1838.5202;2985.0462;1877.2335;2995.3959;1845.7001
1470940.0;2992.7666;1851.5387;2989.1784;1902.9077;3013.2391;1835.6928;2984.5243;1846.6895;2989.4202;1838.6478;2984.7629;1877.7641;2995.4182;1845.6868
1470960.0;2993.0141;1851.4856;2989.2151;1903.2514;3013.4714;1835.5425;2984.8689;1846.3527;2989.3944;1838.7705;2984.5074;1878.2357;2995.4264;1845.6797
1470980.0;2993.2952;1851.6039;2989.2627;1903.5329;3013.6739;1835.3739;2985.2048;1846.0133;2989.3781;1838.884;2984.2837;1878.6548;2995.4319;1845.6689
1471000.0;2993.5871;1851.8423;2989.3128;1903.7374;3013.8496;1835.1768;2985.5424;1845.687;2989.3695;1838.9907;2984.0869;1879.04;2995.4481;1845.6473
1471020.0;2993.8807;1852.148;2989.3597;1903.8715;3014.0195;1834.9313;2985.9014;1845.3686;2989.365;1839.0962;2983.9142;1879.4047;2995.4815;1845.6161
1471040.0;2994.1717;1852.4831;2989.4017;1903.9607;3014.2186;1834.6113;2986.303;1845.0411;2989.3602;1839.2079;2983.7658;1879.7497;2995.5273;1845.5858
1471060.0;2994.45;1852.8316;2989.4388;1904.0379;3014.4738;1834.2062;2986.7523;1844.6935;2989.351;1839.3295;2983.6404;1880.0701;2995.5715;1845.5699
1471080.0;2994.6927;1853.1966;2989.4671;1904.0886;3014.7734;1833.7519;2987.2242;1844.3316;2989.3335;1839.4567;2983.5345;1880.3579;2995.5972;1845.5753
1471100.0;2994.8503;1853.6009;2989.4837;1904.0356;3015.0595;1833.3335;2987.6643;1843.9813;2989.3066;1839.5719;2983.4442;1880.602;2995.5979;1845.596
1471120.0;2994.8519;1854.1025;2989.4797;1903.6332;3015.2571;1833.0456;2988.004;1843.6854;2989.2745;1839.6482;2983.37;1880.7863;2995.5839;1845.6169
1471140.0;2994.6459;1854.7659;2989.447;1902.4156;3015.3183;1832.9416;2988.189;1843.4888;2989.2455;1839.6658;2983.3177;1880.894;2995.5737;1845.6277
1471160.0;2994.2521;1855.5991;2989.3957;1899.7714;3015.2426;1833.014;2988.2034;1843.4133;2989.2274;1839.6274;2983.2994;1880.9055;2995.5771;1845.6303
1471180.0;2993.7736;1856.4839;2989.3755;1895.2433;3015.0664;1833.2142;2988.0802;1843.4454;2989.2225;1839.5565;2983.3264;1880.807;2995.592;1845.6325
1471200.0;2993.3333;1857.2077;2989.4636;1888.8686;3014.8352;1833.4809;2987.891;1843.5453;2989.2268;1839.4857;2983.4038;1880.5976;2995.6141;1845.6337
1471220.0;2992.9907;1857.6124;2989.7211;1881.2469;3014.584;1833.7616;2987.7155;1843.6729;2989.2353;1839.4431;2983.5267;1880.2951;2995.6457;1845.6242
